,OUR_SUMMARY
0,"Time Warner said on Friday that it now owns 8% of search-engine Google. But its own internet business, AOL, had has mixed fortunes. However, the company said AOL's underlying profit before exceptional items rose 8% on the back of stronger internet advertising revenues. For the full-year, TimeWarner posted a profit of $3.36bn, up 27% from its 2003 performance, while revenues grew 6.4% to $42.09bn. It lost 464,000 subscribers in the fourth quarter profits were lower than in the preceding three quarters. But its film division saw profits slump 27% to $284m, helped by box-office flops Alexander and Catwoman, a sharp contrast to year-earlier, when the third and final film in the Lord of the Rings trilogy boosted results. For 2005, TimeWarner is projecting operating earnings growth of around 5%, and also expects higher revenue and wider profit margins. ""Our financial performance was strong, meeting or exceeding all of our full-year objectives and greatly enhancing our flexibility,"" chairman and chief executive Richard Parsons said. It intends to adjust the way it accounts for a deal with German music publisher Bertelsmann's purchase of a stake in AOL Europe, which it had reported as advertising revenue. It will now book the sale of its stake in AOL Europe as a loss on the value of that stake."
1,"In late trading in New York, the dollar reached $1.2871 against the euro, from $1.2974 on Thursday. ""I think the chairman's taking a much more sanguine view on the current account deficit than he's taken for some time,"" said Robert Sinche, head of currency strategy at Bank of America in New York. Market concerns about the deficit has hit the greenback in recent months. ""He's taking a longer-term view, laying out a set of conditions under which the current account deficit can improve this year and next."" China's currency remains pegged to the dollar and the US currency's sharp falls in recent months have therefore made Chinese export prices highly competitive. But calls for a shift in Beijing's policy have fallen on deaf ears, despite recent comments in a major Chinese newspaper that the ""time is ripe"" for a loosening of the peg. The half-point window, some believe, could be enough to keep US assets looking more attractive, and could help prop up the dollar."
2,"Yukos unit buyer faces loan claim
The owners of embattled Russian oil giant Yukos are to ask the buyer of its former production unit to pay back a $900m (£479m) loan. Yukos' owner Menatep Group says it will ask Rosneft to repay a loan that Yugansk had secured on its assets. ""The pledged assets are with Rosneft, so it will have to pay real money to the creditors to avoid seizure of Yugansk assets,"" said Moscow-based US lawyer Jamie Firestone, who is not connected to the case. Menatep Group's managing director Tim Osborne told the Reuters news agency: ""If they default, we will fight them where the rule of law exists under the international arbitration clauses of the credit."" Rosneft officials were unavailable for comment. State-owned Rosneft bought the Yugansk unit for $9.3bn in a sale forced by Russia to part settle a $27.5bn tax claim against Yukos."
3,"Reporting its results for the three months to 31 December 2004, the airline made a pre-tax profit of £75m ($141m) compared with £125m a year earlier. To help offset the increased price of aviation fuel, BA last year introduced a fuel surcharge for passengers. High fuel prices hit BA's profits
British Airways has blamed high fuel prices for a 40% drop in profits. BA had previously forecast a 2% to 3% rise in full-year revenue. However, it said sales would be better than previously forecast. Aviation analyst Nick Van den Brul of BNP Paribas described BA's latest quarterly results as ""pretty modest"". ""Our focus remains on reducing controllable costs and debt whilst continuing to invest in our products,"" Mr Eddington said. ""For example, we have taken delivery of six Airbus A321 aircraft and next month we will start further improvements to our Club World flat beds."" BA's shares closed up four pence at 274.5 pence."
4,"Reports in the Wall Street Journal and the Financial Times suggested that the French spirits firm is considering a bid, but has yet to contact its target. Pernod takeover talk lifts Domecq
Shares in UK drinks and food firm Allied Domecq have risen on speculation that it could be the target of a takeover by France's Pernod Ricard. The other two-thirds of Seagram was bought by market leader Diageo. In terms of market value, Pernod - at 7.5bn euros ($9.7bn) - is about 9% smaller than Allied Domecq, which has a capitalisation of £5.7bn ($10.7bn; 8.2bn euros). The WSJ said that the two were ripe for consolidation, having each dealt with problematic parts of their portfolio. Pernod is home to brands including Chivas Regal Scotch whisky, Havana Club rum and Jacob's Creek wine."
5,"Revised figures indicated growth of just 0.1% - and a similar-sized contraction in the previous quarter. Improvements in the job market apparently have yet to feed through to domestic demand, with private consumption up just 0.2% in the third quarter. But in the face of the strengthening yen making exports less competitive and indications of weakening economic conditions ahead, observers were less sanguine. ""I maintain the view that Japan's economy remains in a minor adjustment phase in an upward climb, and we will monitor developments carefully,"" said economy minister Heizo Takenaka."
6,"Jobs growth still slow in the US
The US created fewer jobs than expected in January, but a fall in jobseekers pushed the unemployment rate to its lowest level in three years. The Labor Department also said it had revised down the jobs gains in December 2004, from 157,000 to 133,000. He presided over a net fall in jobs up to last November's Presidential election - the first President to do so since Herbert Hoover. As a result, job creation became a key issue in last year's election. However, when adding December and January's figures, the administration's first term jobs record ended in positive territory. ""It suggests that employment is continuing to expand at a moderate pace,"" said Rick Egelton, deputy chief economist at BMO Financial Group. ""That means there are a limited number of new opportunities for workers."""
7,"He said the issue is not globalisation but ""the terms of engagement in globalisation."" India calls for fair trade rules
India, which attends the G7 meeting of seven leading industrialised nations on Friday, is unlikely to be cowed by its newcomer status. India, along with China, Brazil, South Africa and Russia, has been invited to take part in the G7 meeting taking place in London on Friday and Saturday. Palaniappan Chidambaram, India's finance minister, argued that these organisations need to take into account the changing world order, given India and China's integration into the global economy. ""A flexible exchange rate is one more channel for absorbing both positive and negative shocks,"" he told the conference. ""Some countries have tried to use fixed exchange rates. I do not wish to make any judgements,"" Mr Chidambaram said."
8,"Nevertheless, 2.2 million Ethiopians will still need emergency assistance. The report calculated emergency food requirements for 2005 to be 387,500 tonnes. Good rains, increased use of fertilizers and improved seeds contributed to the rise in production. ""Local purchase of cereals for food assistance programmes is recommended as far as possible, so as to assist domestic markets and farmers,"" said Henri Josserand, chief of FAO's Global Information and Early Warning System. On top of that, 89,000 tonnes of fortified blended food and vegetable oil for ""targeted supplementary food distributions for a survival programme for children under five and pregnant and lactating women"" will be needed. Agriculture is the main economic activity in Ethiopia, representing 45% of gross domestic product."
9,"The demand for $280bn (£155bn) - filed by the Clinton administration in 1999 - was rejected in a 2-1 decision. Court rejects $280bn tobacco case
A US government claim accusing the country's biggest tobacco companies of covering up the effects of smoking has been thrown out by an appeal court. Among the accused were Altria Group, RJ Reynolds Tobacco, Lorillard Tobacco, Liggett Group and Brown and Williamson. Prosecutors wanted the cigarette firms to surrender $280bn in profits accumulated over the past 50 years and impose tougher rules on marketing their products. They also say they have already met many of the government's demands in a landmark $206bn settlement reached with 46 states in 1998."
